Landgoed;3;geel;
Landgoed;3;geel;
Landgoed;3;geel;
Landgoed;3;geel;
Landgoed;3;geel;
Kasteel;4;geel;
Kasteel;4;geel;
Kasteel;4;geel;
Kasteel;4;geel;
Paleis;5;geel;
Paleis;5;geel;
Paleis;5;geel;
Taveerne;1;groen;
Taveerne;1;groen;
Taveerne;1;groen;
Taveerne;1;groen;
Taveerne;1;groen;
Markt;2;groen;
Markt;2;groen;
Markt;2;groen;
Markt;2;groen;
Winkels;2;groen;
Winkels;2;groen;
Winkels;2;groen;
Handelshuis;3;groen;
Handelshuis;3;groen;
Handelshuis;3;groen;
Haven;4;groen;
Haven;4;groen;
Haven;4;groen;
Raadhuis;5;groen;
Raadhuis;5;groen;
Tempel;1;blauw;
Tempel;1;blauw;
Tempel;1;blauw;
Kerk;2;blauw;
Kerk;2;blauw;
Kerk;2;blauw;
Klooster;3;blauw;
Klooster;3;blauw;
Klooster;3;blauw;
Kathedraal;5;blauw;
Kathedraal;5;blauw;
Wachttoren;1;rood;
Wachttoren;1;rood;
Wachttoren;1;rood;
Gevangenis;2;rood;
Gevangenis;2;rood;
Gevangenis;2;rood;
Toernooiveld;3;rood;
Toernooiveld;3;rood;
Toernooiveld;3;rood;
Burcht;5;rood;
Burcht;5;rood;
Hof der Wonderen;2;lila;Bij het tellen van overwinningspunten mag je het 'Hof de Wonderen' als een gebouw met een kleur naar keuze beschouwen.
Kerker;3;lila;De 'kerker' kan niet door de 'Condottiere' vernietigd worden.
Kerker;3;lila;De 'kerker' kan niet door de 'Condottiere' vernietigd worden.
Kerkhof;5;lila;Als de 'Conottiere' een gebouw vernietigd, mag je 1 goudstuk betalen om dat gebouw in je hand te nemen. Je mag dit niet doen als je zelf de 'Condottiere' bent.
Laboratorium;5;lila;Je mag gedurende je beurt éénmaal 1 bouwkaart afleggen en daarvoor 1 goudstuk uit de voorraad nemen.
Werkplaats;5;lila;Je mag tijdens je beurt éénmaal 3 goudstukken betalen om 2 bouwkaarten van de stapel te trekken.
Observatorium;5;lila;Als je in je inkomstenfase voor kaarten kiest, mag je er 3 trekken, waarvan je er 1 houdt en 2 aflegt (uitzondering: 'Bibliotheek').
Bibliotheek;6;lila;Als je in je inkomstenfase voor kaarten kiest, mag je 2 kaarten houden.
School voor magiërs;6;lila;Tijdens de inkomensfasen neemt de 'School voor magiërs' een kleur naar keuze aan. Je krijgt 1 extra goudstuk als je de 'Koning', de 'Prediker', de 'Koopman' of de 'Condottiere' bent.
Drakenpoort;6;lila;Dit prestigieuze gebouw kost 6 goudstukken en levert aan het einde van het spel 8 punten op.
Universiteit;6;lila;Dit prestigieuze gebouw kost 6 goudstukken en levert aan het einde van het spel 8 punten op.
